column_ref,code,description,notes
"linked_transaction.transaction_type","LOCATION_CREATE","Created residential location","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","LOCATION_CREATE_NON_RESI","Created non-residential location","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","LOCATION_UPDATE","Updated residential location","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","LOCATION_UPDATE_NON_RESI","Updated non-residential location","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","SYNC","NOMIS sync (Residential)","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","SYNC_NON_RESIDENTIAL","NOMIS sync (Non-Residential)","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","DELETE","Locations deleted","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","CAPACITY_CHANGE","Capacity change","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","CELL_TYPE_CHANGES","Cell type change","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","DEACTIVATION","Deactivation","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","PERMANENT_DEACTIVATION","Permanent deactivation","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","REACTIVATION","Reactivation","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","CELL_CONVERTION_TO_ROOM","Cell conversion to room","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","ROOM_CONVERTION_TO_CELL","Room conversion to cell","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","SIGNED_OP_CAP","Signed operational capacity","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","RESI_SERVICE_ACTIVATION","Residential service activation","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","NON_RESI_SERVICE_ACTIVATION","Non-residential service activation","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","INCLUDE_SEG_IN_ROLL_COUNT_ACTIVATION","Include segregation in roll count activation","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","APPROVAL_PROCESS_ACTIVATION","Certification approval activation","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","REQUEST_CERTIFICATION_APPROVAL","Request certification approval","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","APPROVE_CERTIFICATION_REQUEST","Approve request","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","REJECT_CERTIFICATION_REQUEST","Reject request","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","WITHDRAW_CERTIFICATION_REQUEST","Withdraw request","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","CERTIFICATE_BASELINE","Certificate baseline","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","NOTIFICATION_MAILBOX_UPDATE","Notification mailbox updated","also held in the constant_transaction_type table"
"linked_transaction.transaction_type","NOTIFICATION_MAILBOX_DELETE","Notification mailbox deleted","also held in the constant_transaction_type table"
"location.location_type","WING","Wing",""
"location.location_type","SPUR","Spur",""
"location.location_type","LANDING","Landing",""
"location.location_type","CELL","Cell",""
"location.location_type","ROOM","Room",""
"location.location_type","HOLDING_AREA","Holding area",""
"location.location_type","MOVEMENT_AREA","Movement area",""
"location.location_type","RESIDENTIAL_UNIT","Residential unit",""
"location.location_type","EXTERNAL_GROUNDS","External grounds",""
"location.location_type","HOLDING_CELL","Holding cell",""
"location.location_type","MEDICAL","Medical",""
"location.location_type","GROUP","Group",""
"location.location_type","OFFICE","Office",""
"location.location_type","ADMINISTRATION_AREA","Administration area",""
"location.location_type","BOOTH","Booth",""
"location.location_type","BOX","Box",""
"location.location_type","RETURN_TO_UNIT","Return to unit",""
"location.location_type","CLASSROOM","Classroom",""
"location.location_type","TRAINING_AREA","Training area",""
"location.location_type","TRAINING_ROOM","Training room",""
"location.location_type","EXERCISE_AREA","Exercise area",""
"location.location_type","AREA","Area",""
"location.location_type","SPORTS","Sports",""
"location.location_type","WORKSHOP","Workshop",""
"location.location_type","INSIDE_PARTY","Inside party",""
"location.location_type","OUTSIDE_PARTY","Outside party",""
"location.location_type","FAITH_AREA","Faith area",""
"location.location_type","ADJUDICATION_ROOM","Adjudication room",""
"location.location_type","APPOINTMENTS","Appointments",""
"location.location_type","VISITS","Visits",""
"location.location_type","VIDEO_LINK","Video link",""
"location.location_type","ASSOCIATION","Association",""
"location.location_type","INTERNAL_GROUNDS","Internal grounds",""
"location.location_type","INTERVIEW","Interview",""
"location.location_type","LOCATION","Location",""
"location.location_type","POSITION","Position",""
"location.location_type","SHELF","Shelf",""
"location.location_type","STORE","Store",""
"location.location_type","TABLE","Table",""
"location.status","ACTIVE","Active",""
"location.status","INACTIVE","Inactive",""
"location.status","ARCHIVED","Archived",""
"location.status","DRAFT","Draft",""
"location.accommodation_type","CARE_AND_SEPARATION","Care and separation",""
"location.accommodation_type","HEALTHCARE_INPATIENTS","Healthcare inpatients",""
"location.accommodation_type","NORMAL_ACCOMMODATION","Normal accommodation",""
"location.accommodation_type","OTHER_NON_RESIDENTIAL","Other",""
"location.residential_housing_type","HEALTHCARE","Healthcare","legacy NOMIS classification, superseded by accommodation_type"
"location.residential_housing_type","HOLDING_CELL","Holding Cell","legacy NOMIS classification, superseded by accommodation_type"
"location.residential_housing_type","NORMAL_ACCOMMODATION","Normal Accommodation","legacy NOMIS classification, superseded by accommodation_type"
"location.residential_housing_type","RECEPTION","Reception","legacy NOMIS classification, superseded by accommodation_type"
"location.residential_housing_type","SEGREGATION","Segregation","legacy NOMIS classification, superseded by accommodation_type"
"location.residential_housing_type","SPECIALIST_CELL","Specialist Cell","legacy NOMIS classification, superseded by accommodation_type"
"location.residential_housing_type","OTHER_USE","Other Use","legacy NOMIS classification, superseded by accommodation_type"
"location.deactivated_reason","DAMAGED","Damage",""
"location.deactivated_reason","DAMP","Damp / mould",""
"location.deactivated_reason","MAINTENANCE","Maintenance",""
"location.deactivated_reason","MOTHBALLED","Mothballed",""
"location.deactivated_reason","PEST","Pest control",""
"location.deactivated_reason","REFURBISHMENT","Refurbishment",""
"location.deactivated_reason","SECURITY_SEALED","Security sealed",""
"location.deactivated_reason","STAFF_SHORTAGE","Staff shortage",""
"location.deactivated_reason","NEW_BUILD","New build",""
"location.deactivated_reason","CONVERT_CELL_TO_ROOM","Convert cell to non-residential room",""
"location.deactivated_reason","OTHER","Other",""
"location.converted_cell_type","HOLDING_ROOM","Holding room",""
"location.converted_cell_type","INTERVIEW_ROOM","Interview room",""
"location.converted_cell_type","KITCHEN_SERVERY","Kitchen / Servery",""
"location.converted_cell_type","LISTENERS_ROOM","Listener's room",""
"location.converted_cell_type","OFFICE","Office",""
"location.converted_cell_type","SHOWER","Shower",""
"location.converted_cell_type","STAFF_ROOM","Staff room",""
"location.converted_cell_type","STORE","Store room",""
"location.converted_cell_type","TREATMENT_ROOM","Treatment room",""
"location.converted_cell_type","UTILITY_ROOM","Utility room",""
"location.converted_cell_type","OTHER","Other",""
